internet_speed,file_size,active_downloads,device_type,download_time
75.53348365062513,1859.4779590978103,4,Laptop,974.9806007830196
190.1921469755733,5423.590464309797,3,Tablet,678.8010921619003
146.6667944204696,8730.728900405318,4,Smartphone,1941.1538586865925
120.13303835521029,7324.926615231516,2,Laptop,1017.9667607574559
32.04770944804487,8067.545867135883,2,Laptop,4521.12957303126
32.042909546904326,6591.245833440066,1,PC,1721.906023350137
12.558638821471693,6925.842879533346,5,Laptop,24057.73163834811
173.3690530092121,8493.46455913754,4,Laptop,1655.8442493793598
120.62188733689855,2504.1834085032674,1,Laptop,188.57692748693003
141.90644298141305,4899.355386794973,5,Laptop,1030.1357003577814
5.096314364864687,2219.882323777826,4,PC,12892.218080717565
194.01206058023686,9876.803399886503,3,Tablet,1344.843440405506
166.65608551928392,9441.152803469267,4,Tablet,2156.1507268305145
43.255483024976954,403.8738455713739,2,Smartphone,201.9374054340195
37.183168474213026,7058.695973431728,2,Laptop,2914.247160328945
37.49749746083333,9253.230690982502,3,PC,6785.412280542642
61.54420634894801,1813.947697822062,1,Smartphone,264.8472746593008
105.42652989481533,5683.772853220768,5,Smartphone,2504.084554107403
86.95705870978104,9155.728092904537,4,Tablet,3961.3204918683914
58.95459889941034,349.1203260721304,2,PC,92.82395547203524
122.75872604975352,6977.228469795931,1,PC,505.1719343297562
28.759278269756326,2980.516583651782,3,PC,2386.644299257194
59.136785058508416,9244.717991811538,2,Tablet,2670.9012541500992
73.90600681544466,9710.871869202025,3,Tablet,3872.4632673614747
91.75792685919015,9443.222226243204,4,Tablet,3379.941483023054
157.2500163172097,4747.4000244080635,5,Tablet,1375.1849125863891
40.735082649513586,8621.80608338324,2,Tablet,3137.9645844531697
103.33265324430872,8447.048491365353,2,Laptop,1627.3014416236538
118.89049920354645,3197.8137277001238,4,Laptop,1015.3233947314066
10.243632131279547,8290.865586765267,1,PC,8255.620557538929
121.90142552838624,379.70627080777126,5,Smartphone,166.1997766152963
34.934300613771015,5966.73608603571,2,PC,2424.0719357610465
13.945267004070624,2307.7882845041536,5,Smartphone,8308.443254388283
